Porto Atracação,Atracacoes,T_Espera_Median,T_Operacao_Median,T_Atracado_Median,T_Estadia_Median,Paral_H_Total,Paral_H_Median,Idx_Aproveitamento
CMPC Guaíba,1009,0.47,10.67,12.6,15.06,0.0,0.0,0.87
Itaqui,1007,144.43,49.02,59.63,203.68,11568.17,4.13,0.85
Estação Cianport Miritituba,905,35.67,4.3,4.68,42.24,0.0,0.0,0.93
ATR Logística - Chibatão,897,0.02,1.83,3.98,4.0,0.0,0.0,0.46
LDC São Simão,854,0.02,2.62,15.0,16.32,0.0,0.0,0.18
LDC Pederneiras,852,0.02,4.68,28.3,28.32,0.0,0.0,0.18
Fortaleza,813,3.22,45.6,26.72,45.03,850.07,0.0,0.83
TUP Moss,803,1.0,13.17,15.17,16.17,0.0,0.0,0.87
Terminal Portuário do Pecém,799,9.91,14.7,17.15,31.92,0.0,0.0,0.89
Terminal Marítimo Inácio Barbosa - TMIB,742,0.5,5.12,6.93,8.02,0.0,0.0,0.9
DP World Santos,713,14.42,20.82,26.22,45.78,0.0,0.0,0.81
Terminal Aquaviário de São Sebastião (Almirante Barroso),711,17.9,23.8,33.12,52.83,17234.87,0.0,0.75
Porto Itapoá Terminais Portuários,692,8.3,13.78,20.0,30.65,306.67,0.0,0.73
ATEM Manaus,679,0.25,2.48,3.0,3.33,0.0,0.0,0.83
Pelotas,671,0.02,9.5,10.18,10.3,826.28,0.85,0.89
Terminal Aquaviário Solimões - Coari,663,8.42,4.0,6.2,16.25,0.0,0.0,0.64
Itaguaí,644,11.33,28.4,33.28,72.28,2643.08,0.2,0.88
Granel Química Ladário,639,1.0,2.25,3.13,4.15,0.0,0.0,0.77
Terminal Marítimo de Ponta da Madeira,638,109.45,40.68,47.12,155.34,1213.08,0.0,0.91
TUP Bertolini - Santarém,626,0.08,3.67,4.58,4.8,0.0,0.0,0.96
Terminal Dome,587,1.0,13.08,12.42,13.33,0.0,0.0,0.97
Niterói,583,17.2,0.5,15.72,44.87,7097.45,0.0,0.03
Santana,560,0.48,10.73,25.38,25.94,3227.75,0.0,0.87
Salvador,549,1.83,13.8,17.36,21.5,2948.4,0.0,0.84
Belmont,549,0.02,1.83,3.98,4.0,0.0,0.0,0.46
Terminal de Tubarão,528,99.22,41.17,44.11,161.2,2248.33,0.0,0.95
São Francisco do Sul,514,125.17,71.82,72.74,209.69,2929.75,0.0,0.99
Terminal Aquaviário de Angra dos Reis,496,34.05,21.6,32.9,80.17,15790.82,8.85,0.71
Portonave - Terminais Portuários de Navegantes,480,17.5,8.78,11.7,31.2,0.0,0.0,0.79
Administração de Bens de Infraestrutura - ABI,462,0.25,3.88,6.37,6.55,0.0,0.0,0.6
Terminal Distribuidora Equador Manaus,456,1.88,8.94,11.0,13.0,0.0,0.0,0.82
